양평, 두물머리 일출,세미원 연꽃축제,두물머리 연잎핫도그,레일바이크,한정식 힐링채,카페 가람,,,
부천,원미산 진달래축제,도당산 벚꽃축제,춘덕산 복숭아꽃축제,한옥체험마을,한국만화박물관,상동호수공원,역곡상상시장,,
인천,삼형제섬,신도선착장 자전거대여점,신도 바다식당,언덕위에하얀집,해안누리길,모도 배미꾸미 조각공원,슬픈연가세트장,수기해변,
전주,한옥마을,자만벽화마을,경기전 전동성당,막걸리골목,송광사벚꽃터널,오목대,어진박물관,,
김유정역,김유정역레일바이크,금병산,김유정문학관,제이드가든,김유정역닭갈비,삼고집 라피자 청춘닭볶이,,,
춘천,춘천물레길 카누투어,소양강댐,청평사,구봉산카페거리,소양강스카이워크,공지천,구곡폭포,삼악산,봄내길
가평,자라섬,쁘띠프랑스,아침고요수목원,칠오닭갈비,호명호수 호명산,유명산자연휴양림,에델바이스,송원 맛집,끌레르스파펜션
인제,자작나무숲,자작나무숲펜션,황태정식,원대식당,,,,,
서울,북촌한옥마을,통인시장,북스쿡스,창덕궁,북촌전망대,,,,
용인,용인농촌테마파크,제일식당 백암순대,,,,,,,
안산,안산호수공원,다문화음식특구,사마리칸트,CBSC카페,,,,,
화성,우리꽃식물원,궁평항수산물직판장,화성한우마을(식당),옥란문화재단,,,,,
안산,안산갈대습지공원,댕이골-전통음식거리,바닷속으로펜션,,,,,,
,안산식물원,성호기념관,안산한양대앞 ,카바레식당,,,,,
,안산대부도,해맞이펜션,서바이벌 사격체험,포도밭할머니칼국수,커피에빠지다,대부도 캠핑장,,,
,별빛마을 포토랜드,애니멀빌리지,하트빌리지,빛축제,거울미로,,,,
포천,허브아일랜드,불빛동화축제,베네치아 스넥코너,허브박물관,허브카페,,,,
